GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mua_type,TimeFrame,GeoVintage,Layer_Source,facility_provider_number,facility_name,facility_subcategory,address,total_beds,certified_beds,rural_status,ph_num,full_time_physicians,full_time_physician_assis,nurse_practitioners,other_full_time_personnel,hhs_region,facility_category,Point_Source,Location,ZipCode_long,Zipcode,Population,City,State,Hospital_Cost,CountyCode
Census Tract,1089010622,AL,1089010622,1089010622,Not an MUA or MUP,2024,2010,HRSA,14018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,Psychiatric,"5315 Millennium Dr NW, Huntsville, AL 35806-2458",20,20,No,256-964-6700,1,0,0,20.5,Region 4,Hospital,HRSA,United States with inhabited territories (Nation),35806-2458,35806,28443,Huntsville,AL,3121711700,1089
Census Tract,1097002502,AL,1097002502,1097002502,Medically Underserved Area,2024,2010,HRSA,10113,MOBILE INFIRMARY MEDICAL CENTER,Short Term,"5 Mobile Infirmary Cir, Mobile, AL 36607-3513",669,669,No,251-435-4700,0.5,0,1,929.5,Region 4,Hospital,HRSA,United States with inhabited territories (Nation),36607-3513,36607,5529,Mobile,AL,3077188900,1097
Census Tract,1097002502,AL,1097002502,1097002502,Medically Underserved Area,2024,2010,HRSA,12006,INFIRMARY LTAC HOSPITAL,Long Term,"5 Mobile Infirmary Cir, Mobile, AL 36607-3513",22,22,No,251-660-5611,0,0,1200,7,Region 4,Hospital,HRSA,United States with inhabited territories (Nation),36607-3513,36607,5529,Mobile,AL,3077188900,1097
Census Tract,1071950200,AL,1071950200,1071950200,Medically Underserved Area,2024,2010,HRSA,14019,CREEKSIDE HOSPITAL,Psychiatric,"200 Rowland Ave, Bridgeport, AL 35740-4000",21,21,Yes,256-695-4495,0,0,0,20,Region 4,Hospital,HRSA,United States with inhabited territories (Nation),35740-4000,35740,3285,Bridgeport,AL,445158500,1071
Census Tract,2020000901,AK,2020000901,2020000901,Medically Underserved Area,2024,2010,HRSA,20017,ALASKA REGIONAL HOSPITAL,Short Term,"2801 Debarr Rd, Anchorage, AK 99508-2932",250,250,No,907-276-1131,0,0,0,401,Region 10,Hospital,HRSA,United States with inhabited territories (Nation),99508-2932,99508,693,Anchorage,AK,2043349400,2020
Census Tract,4017960400,AZ,4017960400,4017960400,Medically Underserved Area,2024,2010,HRSA,31311,LITTLE COLORADO MEDICAL CENTER,Critical Access Hospitals,"1501 N Williamson Ave, Winslow, AZ 86047-2735",25,25,Yes,928-289-4691,6,0,2,157.5,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),86047-2735,86047,112,Winslow,AZ,814844500,4017
Census Tract,1043964900,AL,1043964900,1043964900,Medically Underserved Area,2024,2010,HRSA,10035,CULLMAN REGIONAL MEDICAL CENTER,Short Term,"1912 AL Highway 157, Cullman, AL 35058",115,115,Yes,256-737-2000,0,0,0,571,Region 4,Hospital,HRSA,United States with inhabited territories (Nation),", AL 35058",35058,11003,Cullman,AL,715229100,1043
Census Tract,4019004616,AZ,4019004616,4019004616,Not an MUA or MUP,2024,2010,HRSA,30085,NORTHWEST MEDICAL CENTER,Short Term,"6200 North La Cholla Boulevard, Tucson, AZ 85741-3599",300,300,No,520-469-8100,15,6,5,755,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85741-3599,85741,112,Tucson,AZ,8516449400,4019
Census Tract,4019004616,AZ,4019004616,4019004616,Not an MUA or MUP,2024,2010,HRSA,32002,SELECT SPECIALTY HOSPITAL-TUCSON NORTHWEST,Long Term,"2025 West Orange Grove Road, Tucson, AZ 85704",51,51,No,520-584-4500,0,0,0,16,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),", AZ 85704",85704,112,Tucson,AZ,8516449400,4019
Census Tract,4019004616,AZ,4019004616,4019004616,Not an MUA or MUP,2024,2010,HRSA,33029,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHW,Rehabilitation,"1921 West Hospital Drive, Tucson, AZ 85704-7806",60,60,No,520-742-2800,0,0,0,86,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85704-7806,85704,112,Tucson,AZ,8516449400,4019
Census Tract,4019004616,AZ,4019004616,4019004616,Not an MUA or MUP,2024,2010,HRSA,34022,SONORA BEHAVIORAL HEALTH HOSPITAL,Psychiatric,"6050 North Corona Road, Tucson, AZ 85704-1096",140,140,No,520-469-8700,5,0,0,30,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),85704-1096,85704,112,Tucson,AZ,8516449400,4019
Census Tract,2195000200,AK,2195000200,2195000200,Not an MUA or MUP,2024,2010,HRSA,21304,PETERSBURG MEDICAL CENTER,Critical Access Hospitals,"PO BOX 589, Petersburg, AK 99833",12,12,Yes,907-772-4291,4,1,1,115,Region 10,Hospital,HRSA,United States with inhabited territories (Nation),", AK 99833",99833,693,Petersburg,AK,31972600,2195
Census Tract,4025000900,AZ,4025000900,4025000900,Medically Underserved Population,2024,2010,HRSA,30012,YAVAPAI REGIONAL MEDICAL CENTER,Short Term,"1003 Willow Creek Road, Prescott, AZ 86301-1668",218,218,No,928-445-2700,0,0,0,882.4,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),86301-1668,86301,112,Prescott,AZ,2521115500,4025
Census Tract,4025000900,AZ,4025000900,4025000900,Medically Underserved Population,2024,2010,HRSA,34025,THE HEALING PLACE,Psychiatric,"181 Whipple Street, Prescott, AZ 86301-1705",16,16,No,928-445-5211,1.75,0,0,0,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),86301-1705,86301,112,Prescott,AZ,2521115500,4025
Census Tract,4013422641,AZ,4013422641,4013422641,Not an MUA or MUP,2024,2010,HRSA,30139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,Short Term,"9130 East Elliot Road, Mesa, AZ 85212",50,50,No,480-410-4500,1,0,0,36.1,Region 9,Hospital,HRSA,United States with inhabited territories (Nation),", AZ 85212",85212,112,Mesa,AZ,32349536400,4013
